,data_ymd,docID,edinetCode,secCode,filerName,docDescription,disclosureStatus,xbrlFlag
0,2019-05-13,S100FQY3,E05923,,コーペラティブ・ラボバンク・ウー・アー,有価証券報告書,0,0
1,2019-05-15,S100FSC0,E03287,75450,株式会社西松屋チェーン,有価証券報告書－第63期(平成30年2月21日－平成31年2月20日),0,1
2,2019-05-15,S100FRKV,E03119,82170,株式会社オークワ,有価証券報告書－第50期(平成30年2月21日－平成31年2月20日),0,1
3,2019-05-15,S100FSL4,E03219,99760,株式会社　セキチュー,有価証券報告書－第68期(平成30年2月21日－平成31年2月20日),0,1
4,2019-05-16,S100FSH0,E02706,98420,アークランドサカモト株式会社,有価証券報告書－第50期(平成30年2月21日－平成31年2月20日),0,1
5,2019-05-17,S100FSY0,E03122,81710,マックスバリュ中部株式会社,有価証券報告書－第46期(平成30年3月1日－平成31年2月28日),0,1
6,2019-05-17,S100FT3Q,E03118,82780,株式会社フジ,有価証券報告書－第52期(平成30年3月1日－平成31年2月28日),0,1
7,2019-05-17,S100FSM8,E02621,80080,株式会社ヨンドシーホールディングス,有価証券報告書－第69期(平成30年3月1日－平成31年2月28日),0,1
8,2019-05-17,S100FT3B,E03415,27780,パレモ・ホールディングス株式会社,有価証券報告書－第34期(平成30年2月21日－平成31年2月20日),0,1
9,2019-05-17,S100FSB0,E03081,82760,株式会社　平和堂,有価証券報告書－第62期(平成30年2月21日－平成31年2月20日),0,1
10,2019-05-17,S100FT3L,E03250,74650,マックスバリュ北海道株式会社,有価証券報告書－第58期(平成30年3月1日－平成31年2月28日),0,1
11,2019-05-17,S100FSYO,E03144,98430,株式会社ニトリホールディングス,有価証券報告書－第47期(平成30年2月21日－平成31年2月20日),0,1
12,2019-05-17,S100FSTN,E01677,62790,株式会社瑞光,有価証券報告書－第56期(平成30年2月21日－平成31年2月20日),0,1
13,2019-05-17,S100FT8R,E03093,81660,株式会社タカキュー,有価証券報告書－第70期(平成30年3月1日－平成31年2月28日),0,1
14,2019-05-20,S100FSI8,E03439,33330,株式会社あさひ,有価証券報告書－第44期(平成30年2月21日－平成31年2月20日),0,1
15,2019-05-20,S100FSWN,E03348,26550,マックスバリュ東北株式会社,有価証券報告書－第47期(平成30年3月1日－平成31年2月28日),0,1
16,2019-05-20,S100FTA8,E03349,26530,イオン九州株式会社,有価証券報告書－第47期(平成30年3月1日－平成31年2月28日),0,1
17,2019-05-20,S100FTAU,E03137,82270,株式会社しまむら,有価証券報告書－第66期(平成30年2月21日－平成31年2月20日),0,1
18,2019-05-22,S100FT9V,E03268,75120,イオン北海道株式会社,有価証券報告書－第41期(平成30年3月1日－平成31年2月28日),0,1
19,2019-05-22,S100FTYT,E05264,43430,株式会社イオンファンタジー,有価証券報告書－第23期(平成30年3月1日－平成31年2月28日),0,1
20,2019-05-22,S100FSWH,E04369,93810,株式会社エーアイテイー,有価証券報告書－第32期(平成30年3月1日－平成31年2月28日),0,1
21,2019-05-22,S100FRFD,E03345,26510,株式会社ローソン,有価証券報告書－第44期(平成30年3月1日－平成31年2月28日),0,1
22,2019-05-22,S100FTXW,E31965,39220,株式会社ＰＲ　ＴＩＭＥＳ,有価証券報告書－第14期(平成30年3月1日－平成31年2月28日),0,1
23,2019-05-23,S100FU6H,E05444,17120,株式会社ダイセキ環境ソリューション,有価証券報告書－第23期(平成30年3月1日－平成31年2月28日),0,1
24,2019-05-23,S100FU3P,E03163,98760,株式会社コックス,有価証券報告書－第46期(平成30年3月1日－平成31年2月28日),0,1
25,2019-05-23,S100FTO6,E02801,74270,エコートレーディング株式会社,有価証券報告書－第48期(平成30年3月1日－平成31年2月28日),0,1
26,2019-05-23,S100FU48,E00342,22920,エスフーズ株式会社,有価証券報告書－第53期(平成30年3月1日－平成31年2月28日),0,1
27,2019-05-23,S100FTB2,E25830,,クレディ・アグリコル・コーポレート・アンド・インベストメント・バンク,有価証券報告書,0,0
28,2019-05-23,S100FU3Z,E03473,30300,株式会社ハブ,有価証券報告書－第21期(平成30年3月1日－平成31年2月28日),0,1
29,2019-05-23,S100FUAJ,E03245,74500,株式会社サンデー,有価証券報告書－第45期(平成30年3月1日－平成31年2月28日),0,1
30,2019-05-23,S100FU8V,E03313,76030,株式会社マックハウス,有価証券報告書－第29期(平成30年3月1日－平成31年2月28日),0,1
31,2019-05-23,S100FU62,E04835,97160,株式会社乃村工藝社,有価証券報告書－第82期(平成30年3月1日－平成31年2月28日),0,1
32,2019-05-23,S100FTRN,E03248,74530,株式会社　良品計画,有価証券報告書－第40期(平成30年3月1日－平成31年2月28日),0,1
33,2019-05-23,S100FU6R,E02923,26680,タビオ株式会社,有価証券報告書－第42期(平成30年3月1日－平成31年2月28日),0,1
34,2019-05-23,S100FU34,E03013,82330,株式会社髙島屋,有価証券報告書－第153期(平成30年3月1日－平成31年2月28日),0,1
35,2019-05-23,S100FU7G,E03443,33530,株式会社メディカル一光,有価証券報告書－第34期(平成30年3月1日－平成31年2月28日),0,1
36,2019-05-23,S100FTQK,E27235,36700,協立情報通信株式会社,有価証券報告書－第54期(平成30年3月1日－平成31年2月28日),0,1
37,2019-05-23,S100FU0R,E03220,99770,株式会社アオキスーパー,有価証券報告書－第45期(平成30年3月1日－平成31年2月28日),0,1
38,2019-05-23,S100FU6U,E31029,31980,ＳＦＰホールディングス株式会社,有価証券報告書－第9期(平成30年3月1日－平成31年2月28日),0,1
39,2019-05-23,S100FU6F,E01839,68140,古野電気株式会社,有価証券報告書－第68期(平成30年3月1日－平成31年2月28日),0,1
40,2019-05-23,S100FTYM,E03199,99480,株式会社アークス,有価証券報告書－第58期(平成30年3月1日－平成31年2月28日),0,1
41,2019-05-23,S100FSUL,E04583,96020,東宝株式会社,有価証券報告書－第130期(平成30年3月1日－平成31年2月28日),0,1
42,2019-05-23,S100FTDQ,E05866,,シティグループ・インク,有価証券報告書,0,0
43,2019-05-23,S100FUDW,E01503,61420,富士精工株式会社,有価証券報告書－第61期(平成30年3月1日－平成31年2月28日),0,1
44,2019-05-23,S100FTGL,E03188,99460,ミニストップ株式会社,有価証券報告書－第40期(平成30年3月1日－平成31年2月28日),0,1
45,2019-05-24,S100FSWC,E02989,33840,株式会社アークコア,有価証券報告書－第16期(平成30年3月1日－平成31年2月28日),0,1
46,2019-05-24,S100FTYD,E04931,97930,株式会社ダイセキ,有価証券報告書－第61期(平成30年3月1日－平成31年2月28日),0,1
47,2019-05-24,S100FTPR,E01325,59000,株式会社ダイケン,有価証券報告書－第71期(平成30年3月1日－平成31年2月28日),0,1
48,2019-05-24,S100FU5C,E03490,30650,株式会社ライフフーズ,有価証券報告書－第33期(平成30年3月1日－平成31年2月28日),0,1
49,2019-05-24,S100FUID,E02618,81250,株式会社ワキタ,有価証券報告書－第59期(平成30年3月1日－平成31年2月28日),0,1
50,2019-05-24,S100FUGM,E03395,27420,株式会社ハローズ,有価証券報告書－第61期(平成30年3月1日－平成31年2月28日),0,1
51,2019-05-24,S100FUEE,E03274,75200,株式会社エコス,有価証券報告書－第54期(平成30年3月1日－平成31年2月28日),0,1
52,2019-05-24,S100FTR7,E00667,79750,株式会社リヒトラブ,有価証券報告書－第71期(平成30年3月1日－平成31年2月28日),0,1
53,2019-05-24,S100FTNI,E03083,81940,株式会社ライフコーポレーション,有価証券報告書－第64期(平成30年3月1日－平成31年2月28日),0,1
54,2019-05-24,S100FTYW,E03179,99030,株式会社カンセキ,有価証券報告書－第45期(平成30年3月1日－平成31年2月28日),0,1
55,2019-05-24,S100FU1R,E02553,74850,岡谷鋼機株式会社,有価証券報告書－第83期(平成30年3月1日－平成31年2月28日),0,1
56,2019-05-24,S100FUHC,E03077,81850,株式会社チヨダ,有価証券報告書－第72期(平成30年3月1日－平成31年2月28日),0,1
57,2019-05-24,S100FUJF,E04002,89050,イオンモール株式会社,有価証券報告書－第108期(平成30年3月1日－平成31年2月28日),0,1
58,2019-05-24,S100FUJN,E03153,98610,株式会社吉野家ホールディングス,有価証券報告書－第62期(平成30年3月1日－平成31年2月28日),0,1
59,2019-05-24,S100FUCB,E03130,82870,マックスバリュ西日本株式会社,有価証券報告書－第37期(平成30年3月1日－平成31年2月28日),0,1
60,2019-05-24,S100FUGR,E24512,14180,インターライフホールディングス株式会社,有価証券報告書－第9期(平成30年3月1日－平成31年2月28日),0,1
61,2019-05-24,S100FUEK,E03021,82440,株式会社近鉄百貨店,有価証券報告書－第125期(平成30年3月1日－平成31年2月28日),0,1
62,2019-05-24,S100FUF6,E04784,81810,株式会社東天紅,有価証券報告書－第63期(平成30年3月1日－平成31年2月28日),0,1
63,2019-05-24,S100FU4E,E03358,26690,カネ美食品株式会社,有価証券報告書－第49期(平成30年4月1日－平成31年2月28日),0,1
64,2019-05-24,S100FUK8,E03422,27890,株式会社カルラ,有価証券報告書－第47期(平成30年3月1日－平成31年2月28日),0,1
65,2019-05-24,S100FUCG,E00496,29180,わらべや日洋ホールディングス株式会社,有価証券報告書－第55期(平成30年3月1日－平成31年2月28日),0,1
66,2019-05-24,S100FUCZ,E03032,82600,株式会社井筒屋,有価証券報告書－第124期(平成30年3月1日－平成31年2月28日),0,1
67,2019-05-24,S100FUES,E03283,22940,株式会社柿安本店,有価証券報告書－第51期(平成30年3月1日－平成31年2月28日),0,1
68,2019-05-24,S100FUH5,E03017,82370,株式会社松屋,有価証券報告書－第150期(平成30年3月1日－平成31年2月28日),0,1
69,2019-05-24,S100FUCA,E03368,26850,株式会社アダストリア,有価証券報告書－第69期(平成30年3月1日－平成31年2月28日),0,1
70,2019-05-24,S100FUEP,E03099,82000,株式会社リンガーハット,有価証券報告書－第55期(平成30年3月1日－平成31年2月28日),0,1
71,2019-05-24,S100FULR,E05433,24170,株式会社ツヴァイ,有価証券報告書－第35期(平成30年3月1日－平成31年2月28日),0,1
72,2019-05-24,S100FU5L,E03103,82030,株式会社ミスターマックス・ホールディングス,有価証券報告書－第70期(平成30年3月1日－平成31年2月28日),0,1
