,Bonds,CP,Capex,CashEquivalents,Depreciation,GrossProfit,Inventories,NetAssets,NetSales,OperatingProfit,OrdinaryIncomeLoss,ParseFlg,ProfitLoss,ROE,RequestFlg,ShareholdersEquity,Valuation,acPayable,acReceivable,campany_no,cfFinancing,cfInvesting,cfOperating,cpBonds,cpLoans,disclosureStatusFlg,docID,edinetCode,filerName,ltLoans,psBasicEarningsLoss,psNetAssets,season,series_data,stBonds,stLoans,tAssets,tIssuedShares,xbrlFlg,year
0,,,,1325644000,,,,1391601000,4176402000,,323108000,,,0.302,,,,,,,124567000,-95376000,717412000,,,0,S10046TN,E02891,マルカキカイ株式会社,,7441.98,31450.04,13.0,,,,2832324000,44248,1,2010
1,,,,1932060000,,,,2020398000,4182908000,,385401000,,,0.369,,,,,,,64765000,-142472000,684122000,,,0,S10046TN,E02891,マルカキカイ株式会社,,14226.45,45660.79,14.0,,,,3629144000,44248,1,2011
2,,,,2169846000,,,,2463084000,4289385000,,474453000,,,0.196,,,,,,,158724000,-567732000,646794000,,,0,S10046TN,E02891,マルカキカイ株式会社,,99.27,556.65,15.0,,,,4334461000,44248,1,2012
3,220000000.0,,,2625625000,7395000.0,1842648000.0,-18880000.0,2780431000,4225478000,526077000.0,517087000,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000,-346018000,809413000,110000000.0,147192000.0,0,S10046TN,E02891,マルカキカイ株式会社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000,4424800,1,2013
4,160000000.0,,,2511147000,15933000.0,2550585000.0,-1194000.0,3059877000,4437957000,690483000.0,693252000,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000,-384858000,587886000,60000000.0,119992000.0,0,S10046TN,E02891,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000,4424800,1,2014
5,,,,1325644000,,,,1391601000,4176402000,,323108000,,,0.302,,,,,,,124567000,-95376000,717412000,,,0,S10046TK,E00698,株式会社神戸新聞社,,7441.98,31450.04,13.0,,,,2832324000,44248,1,2010
6,,,,1932060000,,,,2020398000,4182908000,,385401000,,,0.369,,,,,,,64765000,-142472000,684122000,,,0,S10046TK,E00698,株式会社神戸新聞社,,14226.45,45660.79,14.0,,,,3629144000,44248,1,2011
7,,,,2169846000,,,,2463084000,4289385000,,474453000,,,0.196,,,,,,,158724000,-567732000,646794000,,,0,S10046TK,E00698,株式会社神戸新聞社,,99.27,556.65,15.0,,,,4334461000,44248,1,2012
8,220000000.0,,,2625625000,7395000.0,1842648000.0,-18880000.0,2780431000,4225478000,526077000.0,517087000,,,0.121,,2778285000.0,2145000.0,-5298000.0,100732000.0,,-7616000,-346018000,809413000,110000000.0,147192000.0,0,S10046TK,E00698,株式会社神戸新聞社,147192000.0,71.46,628.37,16.0,,,135000000.0,4996345000,4424800,1,2013
9,160000000.0,,,2511147000,15933000.0,2550585000.0,-1194000.0,3059877000,4437957000,690483000.0,693252000,,,0.115,,3112757000.0,-52880000.0,-6838000.0,-149950000.0,,-317505000,-384858000,587886000,60000000.0,119992000.0,0,S10046TK,E00698,イーサポートリンク株式会社,119992000.0,75.64,691.54,17.0,第17期（自　平成25年12月１日　至　平成26年11月30日）,,150000000.0,5211853000,4424800,1,2014
