number,docID,edinetCode,filerName,disclosureStatusFlg,xbrlFlg
0,S1002GST,E02843,株式会社ヤガミ,0,1
1,S1002HNA,E05070,株式会社ダイサン,0,1
3,S1002ISD,E00763,神島化学工業株式会社,0,1
4,S1002KH1,E00715,株式会社マツモト,0,1
5,S1002KJ2,E03326,株式会社サンオータス,0,1
6,S1002KSN,E02953,株式会社テンポスホールディングス,0,1
7,S1002L07,E05137,株式会社トーシンホールディングス,0,1
8,S1002KO7,E22016,株式会社菊池製作所,0,1
9,S1002KIZ,E23829,ヤーマン株式会社,0,1
10,S1002KYA,E03433,株式会社メガネスーパー,0,1
11,S1002KSK,E04732,株式会社涼仙,0,1
12,S1002KZ7,E00578,日東製網株式会社,0,1
13,S1002K5X,E00510,佐藤食品工業株式会社,0,1
14,S1002L1P,E00414,株式会社伊藤園,0,1
15,S1002KYM,E25884,株式会社スリー・ディー・マトリックス,0,1
16,S1002KXU,E22663,クックパッド株式会社,0,1
17,S1002KY8,E03436,東和フードサービス株式会社,0,1
18,S1002KUN,E01442,株式会社共和工業所,0,1
19,S1002KRW,E05483,株式会社アスカネット,0,1
20,S1002KVB,E05484,株式会社ザッパラス,0,1
21,S1002L8L,E27215,株式会社ビューティガレージ,0,1
22,S1002K9Z,E00281,東建コーポレーション株式会社,0,1
23,S1002LDF,E02356,インスペック株式会社,0,1
24,S1002LJ2,E04192,新潟運輸株式会社,0,1
25,S1002LQ5,E05563,株式会社ラクーンホールディングス,0,1
26,S1002LVM,E00482,株式会社ロック・フィールド,0,1
27,S1002L5T,E05481,日本テレホン株式会社,0,1
28,S1002L7E,E24248,アゼアス株式会社,0,1
29,S1002JLK,E04651,株式会社中山カントリークラブ,0,1
30,S1002LY3,E05704,株式会社フルスピード,0,1
31,S1002LMQ,E02011,株式会社ナ・デックス,0,1
32,S1002LB4,E02430,ＭＩＣＳ化学株式会社,0,1
33,S1002LRL,E03279,株式会社グリーンクロス,0,1
34,S1002LYF,E04695,尾道ゴルフ観光株式会社,0,1
35,S1002M9Y,E03454,株式会社トーエル,0,1
36,S1002MCD,E05680,フリービット株式会社,0,1
37,S1002M0L,E30738,日本ビューホテル株式会社,0,1
38,S1002M9S,E04896,株式会社アインホールディングス,0,1
39,S1002MIT,E03363,アスクル株式会社,0,1
40,S1002MJY,E23807,株式会社Ｌｏｎｇ　Ｔａｉｌ　Ｌｉｖｅ　Ｓｔａｔｉｏｎ,0,1
41,S1002NL7,E05904,トヨタ　モーター　クレジット　コーポレーション,0,0
42,S1002OVO,E03149,ＤＣＭくろがねや株式会社,0,1
43,S1002NKB,E01856,コーセル株式会社,0,1
44,S1002P9N,E03464,株式会社ツルハホールディングス,0,1
45,S1002OKK,E03507,株式会社銚子丸,0,1
46,S1002SK5,E02956,トシン・グループ株式会社,0,1
47,S1002UVN,E24747,ノムラ・ヨーロッパ・ファイナンス・エヌ・ブイ　（Ｎｏｍｕｒａ　Ｅｕｒｏｐｅ　Ｆｉｎａｎｃｅ　Ｎ．Ｖ．）,0,0
48,S1002VIP,E03257,株式会社マルミヤストア,0,1
49,S1002VK7,E03469,株式会社クスリのアオキ,0,1
50,S1002VTC,E03424,株式会社ハニーズホールディングス,0,1
51,S1002W0B,E05141,株式会社エル・シー・エーホールディングス,0,1
52,S1002W1A,E05162,株式会社ウェザーニューズ,0,1
53,S1002VVI,E24129,株式会社大光,0,1
54,S1002W4Q,E02793,佐鳥電機株式会社,0,1
55,S1002WDJ,E04601,新橋演舞場株式会社,0,1
56,S1002WI1,E03329,株式会社壱番屋,0,1
57,S1002WJL,E03169,株式会社テーオーホールディングス,0,1
58,S1002WJZ,E03386,株式会社アイケイ,0,1
59,S1002WB0,E20989,トヨタ　モーター　ファイナンス　（ネザーランズ）　ビーブイ,0,0
60,S1002W3D,E04873,日本プロセス株式会社,0,1
61,S1002WK3,E05053,株式会社　京進,0,1
62,S1002WI4,E00710,宝印刷株式会社,0,1
63,S1002WO0,E05027,日本オラクル株式会社,0,1
64,S1002WHJ,E05169,日本エンタープライズ株式会社,0,1
65,S1002W03,E01494,旭サナック株式会社,0,1
66,S1002VLB,E02968,ミタチ産業株式会社,0,1
67,S1002VYU,E05491,株式会社ウィズ,0,1
68,S1002WRI,E05641,メディアファイブ株式会社,0,1
69,S1002WML,E21606,株式会社クリエイトＳＤホールディングス,0,1
70,S1002WOJ,E02480,株式会社ＩＧポート,0,1
71,S1002WQJ,E03423,大黒天物産株式会社,0,1
72,S1002WQ4,E05536,ライク株式会社,0,1
73,S1002WQ1,E03409,株式会社ヴィレッジヴァンガードコーポレーション,0,1
74,S1002WXN,E00006,株式会社　サカタのタネ,0,1
75,S1002WXH,E04036,株式会社インテリックス,0,1
76,S1002WON,E27064,モバイルクリエイト株式会社,0,1
77,S1002WE2,E02996,山下医科器械株式会社,0,1
78,S1002XBM,E05527,アウンコンサルティング株式会社,0,1
79,S1002XDH,E05601,サイバーステップ株式会社,0,1
80,S1002WP9,E05313,株式会社毎日コムネット,0,1
81,S1002WUE,E02842,小津産業株式会社,0,1
82,S1002XGM,E00890,株式会社ニイタカ,0,1
83,S1002XHV,E02803,株式会社オータケ,0,1
84,S1002XJY,E04685,株式会社金太郎温泉,0,1
85,S1002XL8,E03988,株式会社ウッドフレンズ,0,1
86,S1002XKO,E05379,ファーマライズホールディングス株式会社,0,1
87,S1002WUA,E00866,三光合成株式会社,0,1
88,S1002VKH,E03189,株式会社ドミー,0,1
89,S1002XN7,E05176,キャリアバンク株式会社,0,1
90,S1002XQE,E02336,株式会社インターアクション,0,1
91,S1002XP3,E00687,株式会社岡山製紙,0,1
92,S1002X1Q,E05289,株式会社ドーン,0,1
93,S1002XK5,E01672,前澤工業株式会社,0,1
94,S1002WL8,E02323,シグマ光機株式会社,0,1
95,S1002W81,E03989,リベレステ株式会社,0,1
96,S1002X8W,E02677,三益半導体工業株式会社,0,1
