,data_ymd,docID,edinetCode,secCode,filerName,docDescription,disclosureStatus,xbrlFlag
0,2016-04-06,S1007BAQ,E27113,,ＯＰコーポレート・バンク・ピーエルシー（ＯＰ　Ｃｏｒｐｏｒａｔｅ　Ｂａｎｋ　ｐｌｃ）,有価証券報告書－第4期(平成27年1月1日－平成27年12月31日),0,0
1,2016-04-11,S1007C8K,E02888,75900.0,株式会社タカショー,有価証券報告書－第36期(平成27年1月21日－平成28年1月20日),0,1
2,2016-04-12,S1007B33,E06017,,欧州評議会開発銀行,有価証券報告書,0,0
3,2016-04-14,S1007CV3,E02665,81420.0,株式会社トーホー,有価証券報告書－第63期(平成27年2月1日－平成28年1月31日),0,1
4,2016-04-14,S1007D32,E02882,78650.0,ピープル株式会社,有価証券報告書－第39期(平成27年1月21日－平成28年1月20日),0,1
5,2016-04-15,S1007DDP,E05168,48130.0,株式会社ＡＣＣＥＳＳ,有価証券報告書－第32期(平成27年2月1日－平成28年1月31日),0,1
6,2016-04-18,S1007DMT,E00424,25900.0,ダイドーグループホールディングス株式会社,有価証券報告書－第41期(平成27年1月21日－平成28年1月20日),0,1
7,2016-04-19,S1007DDS,E05776,86860.0,ＡＦＬＡＣ　Ｉｎｃｏｒｐｏｒａｔｅｄ,有価証券報告書,0,0
8,2016-04-20,S1007DXL,E04853,96920.0,株式会社シーイーシー,有価証券報告書－第48期(平成27年2月1日－平成28年1月31日),0,1
9,2016-04-20,S1007E6E,E03175,98290.0,株式会社ながの東急百貨店,有価証券報告書－第58期(平成27年2月1日－平成28年1月31日),0,1
10,2016-04-21,S1007E6K,E02293,69660.0,株式会社三井ハイテック,有価証券報告書－第82期(平成27年2月1日－平成28年1月31日),0,1
11,2016-04-21,S1007E9Y,E05717,21630.0,株式会社アルトナー,有価証券報告書－第54期(平成27年2月1日－平成28年1月31日),0,1
12,2016-04-22,S1007EK1,E00688,39550.0,株式会社イムラ封筒,有価証券報告書－第66期(平成27年2月1日－平成28年1月31日),0,1
13,2016-04-22,S1007EJG,E03351,,株式会社Ｋ－ＧＯＬＤインターナショナル,有価証券報告書－第25期(平成27年2月1日－平成28年1月31日),0,1
14,2016-04-22,S1007EM9,E31731,14330.0,ベステラ株式会社,有価証券報告書－第43期(平成27年2月1日－平成28年1月31日),0,1
15,2016-04-22,S1007DLM,E04672,,備後観光開発株式会社,有価証券報告書－第43期(平成27年2月1日－平成28年1月31日),0,1
16,2016-04-22,S1007EN4,E25898,36570.0,ポールトゥウィン・ピットクルーホールディングス株式会社,有価証券報告書－第7期(平成27年2月1日－平成28年1月31日),0,1
17,2016-04-22,S1007CDH,E04593,96370.0,オーエス株式会社,有価証券報告書－第98期(平成27年2月1日－平成28年1月31日),0,1
18,2016-04-22,S1007EHR,E04671,,株式会社可児ゴルフ倶楽部,有価証券報告書－第43期(平成27年2月1日－平成28年1月31日),0,1
19,2016-04-22,S1007EAI,E25888,36580.0,株式会社イーブックイニシアティブジャパン,有価証券報告書－第16期(平成27年2月1日－平成28年1月31日),0,1
20,2016-04-22,S1007EPD,E31871,61840.0,株式会社鎌倉新書,有価証券報告書－第32期(平成27年2月1日－平成28年1月31日),0,1
