,data_ymd,docID,edinetCode,secCode,filerName,docDescription,disclosureStatus,xbrlFlag
0,2017-04-07,S100A20Y,E05884,,スリーエム　カンパニー,外国会社報告書,0,0
1,2017-04-07,S100A1SH,E05771,,ビーピー・ピーエルシー,外国会社報告書,0,0
2,2017-04-10,S100A1ZL,E02888,75900,株式会社タカショー,有価証券報告書－第37期(平成28年1月21日－平成29年1月20日),0,1
3,2017-04-11,S100A1DB,E06017,,欧州評議会開発銀行,有価証券報告書,0,0
4,2017-04-11,S100A2DP,E05765,,イーライ・リリー・アンド・カンパニー,外国会社報告書,0,0
5,2017-04-14,S100A26S,E04672,,備後観光開発株式会社,有価証券報告書－第44期(平成28年2月1日－平成29年1月31日),0,1
6,2017-04-14,S100A2QD,E02882,78650,ピープル株式会社,有価証券報告書－第40期(平成28年1月21日－平成29年1月20日),0,1
7,2017-04-17,S100A37F,E00424,25900,ダイドーグループホールディングス株式会社,有価証券報告書－第42期(平成28年1月21日－平成29年1月20日),0,1
8,2017-04-19,S100A3KW,E02665,81420,株式会社トーホー,有価証券報告書－第64期(平成28年2月1日－平成29年1月31日),0,1
9,2017-04-19,S100A3KA,E04853,96920,株式会社シーイーシー,有価証券報告書－第49期(平成28年2月1日－平成29年1月31日),0,1
10,2017-04-19,S100A3Q6,E03175,98290,株式会社ながの東急百貨店,有価証券報告書－第59期(平成28年2月1日－平成29年1月31日),0,1
11,2017-04-20,S100A3RY,E05168,48130,株式会社ＡＣＣＥＳＳ,有価証券報告書－第33期(平成28年2月1日－平成29年1月31日),0,1
12,2017-04-21,S100A3UN,E05776,86860,ＡＦＬＡＣ　Ｉｎｃｏｒｐｏｒａｔｅｄ,有価証券報告書,0,0
13,2017-04-21,S100A405,E22528,,コーニングインコーポレイティッド,外国会社報告書,0,0
14,2017-04-21,S100A3ZD,E05895,,バクスター　インターナショナル　インコーポレィテッド,外国会社報告書,0,0
15,2017-04-21,S100A3X0,E02293,69660,株式会社三井ハイテック,有価証券報告書－第83期(平成28年2月1日－平成29年1月31日),0,1
16,2017-04-24,S100A42Q,E05903,,ゼネラル・エレクトリック・カンパニー,外国会社報告書,0,0
17,2017-04-24,S100A4CG,E31871,61840,株式会社鎌倉新書,有価証券報告書－第33期(平成28年2月1日－平成29年1月31日),0,1
18,2017-04-25,S1009XDT,E05816,,ブリストル・マイヤーズ　スクイブ・カンパニー,外国会社報告書,0,0
19,2017-04-25,S100A4JR,E04668,,株式会社富山ゴルフ,有価証券報告書－第47期(平成28年2月1日－平成29年1月31日),0,1
20,2017-04-25,S100A454,E05773,,ジェー・ピー・モルガン・チェース・アンド・カンパニー（ＪＰＭｏｒｇａｎ　Ｃｈａｓｅ　＆　Ｃｏ．）,外国会社報告書,0,0
21,2017-04-25,S100A2UI,E00208,97430,株式会社丹青社,有価証券報告書－第59期(平成28年2月1日－平成29年1月31日),0,1
22,2017-04-25,S100A4L5,E02564,80900,昭光通商株式会社,有価証券報告書－第97期(平成28年1月1日－平成28年12月31日),0,1
23,2017-04-25,S100A4H6,E00751,40040,昭和電工株式会社,有価証券報告書－第108期(平成28年1月1日－平成28年12月31日),0,1
24,2017-04-25,S100A4M9,E04676,,三原京覧開発　株式会社,有価証券報告書－第44期(平成28年2月1日－平成29年1月31日),0,1
25,2017-04-25,S100A4MX,E05204,42870,株式会社ジャストプランニング,有価証券報告書－第23期(平成28年2月1日－平成29年1月31日),0,1
26,2017-04-26,S100A4O0,E02047,63360,株式会社石井表記,有価証券報告書－第44期(平成28年2月1日－平成29年1月31日),0,1
